gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe,Significance,neg_log10_padj
A1BG,0.013979108278907807,0.6980445938201377,0.0034046762203612246,0.9242440018086657,0.7962217611434437,0.9999999999999998,Not Significant,0.09896595710187124
A1CF,-0.005272864037819308,0.6383870418983381,-0.015159229212050443,0.20478010802377822,0.7463349065534489,0.4721326327688017,Not Significant,0.12706624567824507
A2M-AS1,-0.018605065602208114,0.8690130005225549,-0.11815322641598729,0.3163352205721619,0.9342962485044398,0.5501874462024383,Not Significant,0.029515394978841952
A2ML1,-0.008333006220022289,0.266569703380069,-0.008333006220022292,0.266569703380069,0.3963916820181208,0.5026401889255694,Not Significant,0.4018754674348267
A3GALT2,-0.07550366531731365,0.3170070552615044,-0.03704292585977196,0.6116190173821289,0.4499851797231599,0.7868958798479978,Not Significant,0.34680178949230456
A4GALT,-0.7952070422591293,0.004965796097650883,0.21009575556833518,0.29690211549770723,0.021385545238058547,0.5331680414342646,Downregulated,1.6698796726523644
A4GNT,3.4169787185693464e-18,0.9999999999999998,0.016813467065118725,0.266569703380069,0.9999999999999998,0.5026401889255694,Not Significant,9.643274665532873e-17
AAAS,-0.35758242641623844,0.0722523625490496,0.26153574215790215,0.1622574556665861,0.1583577844244598,0.43041437154911255,Not Significant,0.800360583068876
AACS,-0.1285187187305864,0.28868789214906554,0.19534116444744276,0.12731633835004624,0.4196551857738363,0.38959608974775733,Not Significant,0.3771074058427945
AACSP1,-0.18182338054697111,0.006687001344017017,-0.14911479377324,0.01589201358148817,0.026509505275080093,0.3096511062163426,Not Significant,1.576598377069155
AADAC,-0.07935716082047592,0.16989730470168973,-0.04228527916096721,0.4378013405163402,0.30393404763242426,0.6490019871975897,Not Significant,0.5172206461832131
AADACL3,1.6350879206628112e-18,0.9999999999999998,0.008045556957448081,0.266569703380069,0.9999999999999998,0.5026401889255694,Not Significant,9.643274665532873e-17
