Gene,log2FC,pvalue,padj,plot_color
TSPAN6,0.1089953407947317,0.3783536050819096,0.5188017268741356,grey
TNMD,-0.4606692954397003,0.02354909346915213,0.055508226371766854,grey
DPM1,0.45502093193695364,1.1681813937612902e-05,5.6799588735668e-05,grey
SCYL3,0.48292737693626736,6.496594415445869e-05,0.00027725055072795027,grey
C1orf112,1.1903198590597592,3.6806352446582086e-09,3.056729946898452e-08,re
FGR,-0.6623070201198582,0.00022894839032147819,0.0008816456972994794,grey
CFH,-0.4970881278687263,0.01554580270273507,0.038721093725364406,grey
FUCA2,0.5693567628837846,1.0991601359458354e-05,5.369793829051877e-05,grey
GCLC,-0.2965431945525207,0.040155233908719445,0.08774973035550306,grey
NFYA,0.9700230471263063,1.4719536883489158e-11,1.7010615025096506e-10,grey
STPG1,0.929578199820313,5.194849683971433e-11,5.578683670700779e-10,grey
NIPAL3,0.8462739224872278,1.2927648375976083e-10,1.314532082747145e-09,grey
LAS1L,0.8676621572012636,4.717773010217042e-19,1.5423332397081663e-17,grey
ENPP4,0.38811110227190665,0.0684668660600612,0.13747667551229883,grey
SEMA3F,1.6124751259589227,2.8423195512849874e-37,9.170947055046104e-35,re
CFTR,-4.291326390836981,1.2566538209963913e-16,2.8809158750532373e-15,b
ANKIB1,0.5152472176732276,0.0004854525434109261,0.001751842389192685,grey
CYP51A1,0.14696327847387464,0.6530618630829137,0.7451962904901821,grey
KRIT1,0.732049180787754,2.296547878449296e-12,2.921914735390705e-11,grey
RAD52,0.821939288971488,2.808510397973121e-10,2.7310637010558293e-09,grey
MYH16,1.106975569400161,4.372685742221845e-09,3.585068976833984e-08,re
BAD,0.5774573847298491,8.458021507727096e-08,5.766507901881314e-07,grey
LAP3,-0.668658806531476,1.185475100386926e-05,5.759581099926671e-05,grey
CD99,0.4266549526413968,5.189989776792804e-05,0.0002253732006049417,grey
HS3ST1,0.006556712180526303,0.9761275045419835,0.9831794424538547,grey
AOC1,-1.7885156712365984,6.515600150913775e-06,3.3093762932566904e-05,b
WNT16,0.37877498463179854,0.06232955191364732,0.12717949440986145,grey
HECW1,0.5273334085549877,0.07548045338536545,0.14897423189921566,grey
MAD1L1,-0.40570270518386975,0.1014726399127517,0.18929111013490782,grey
LASP1,0.9072506574279728,2.0069319186638863e-10,1.988792748110852e-09,grey
SNX11,0.8198094851850097,3.366304447028816e-17,8.440425426353558e-16,grey
TMEM176A,-0.31462261541688297,0.09593865405935005,0.18063274763125042,grey
M6PR,0.04592266123335849,0.8037928954353829,0.8521783330659399,grey
KLHL13,0.1530418272824872,0.5228685597159323,0.64515522453924,grey
CYP26B1,-0.37138989712296433,0.30480575770706664,0.4443690353703627,grey
ICA1,0.453781073476897,0.06533826846654085,0.13228129540922298,grey
DBNDD1,1.869178857794305,8.602679495545402e-16,1.7665785579644117e-14,re
ALS2,0.06598319624735127,0.5900976940191383,0.702165643748354,grey
CASP10,0.27939132483244106,0.01725340763518845,0.042407648869086156,grey
CFLAR,0.11148430146842228,0.27611195169519054,0.4129429572896023,grey
TFPI,-0.2672853673137757,0.20615551763025367,0.33284451728454156,grey
NDUFAF7,0.46435016103716514,1.6293075362473087e-07,1.0628332952195505e-06,grey
RBM5,0.7704813372275198,4.1967779358715354e-13,5.981097075946144e-12,grey
MTMR7,0.8348758476394713,0.0008373294839992604,0.002878610108428969,grey
SLC7A2,-1.9490352318079864,6.497195286217544e-15,1.1777339705819378e-13,b
ARF5,0.6278088468173725,3.992700293940797e-11,4.359006614411584e-10,grey
SARM1,0.9306711574356331,1.7177360273840954e-06,9.585133391268202e-06,grey
POLDIP2,0.2585750586802143,0.001609623773127074,0.005200400889719073,grey
PLXND1,1.1296805033841755,6.688943949167792e-14,1.0645186586520839e-12,re
AK2,0.03975406973282513,0.6686010232778619,0.7592268834466459,grey
CD38,-0.9373403029945793,0.0005444497051788767,0.0019441189276497358,grey
FKBP4,0.5320971052197223,1.1336328912614348e-05,5.524821440106759e-05,grey
KDM1A,0.7113177198564793,5.196192195225606e-11,5.579064314573376e-10,grey
RBM6,0.8856872134818482,3.582102404511564e-17,8.971729358151116e-16,grey
CAMKK1,0.5015537589196326,0.0035772975168444176,0.010647414700786466,grey
RECQL,0.5824062000017344,0.010244373052115351,0.026894575245847745,grey
VPS50,0.8083713119997167,4.458661494323053e-11,4.826654932456886e-10,grey
HSPB6,-0.589191597709691,0.043432401914543665,0.09388295590325044,grey
ARHGAP33,1.8924556459204853,1.1853039023197019e-26,1.0506779410436729e-24,re
NDUFAB1,0.24766080054758624,0.014052243826334488,0.03547982622108825,grey
PDK4,-1.6435239877476615,2.8499580187019045e-09,2.405064706710552e-08,b
SLC22A16,0.6946878277715872,0.00022876851263198316,0.0008810731918535523,grey
ZMYND10,1.5810889477652592,2.0712484815817992e-16,4.6244778771259905e-15,re
ABCB5,1.9201237818742904,1.9428284141711754e-07,1.2513038257804883e-06,re
ARX,0.5930508089163719,0.004970450165644813,0.014264623563056385,grey
SLC25A13,-0.2871611497507679,0.030911833609046303,0.07023607439277291,grey
ST7,-0.0852614569941977,0.36247981615820557,0.5058949923091984,grey
CDC27,0.5136288896674246,4.026058293245184e-06,2.1208263973140155e-05,grey
SLC4A1,-1.3442010765801384,4.3921485477974994e-08,3.1309514928845574e-07,b
CALCR,0.38180079906049835,0.15327689656056254,0.2639537638931399,grey
HCCS,0.36373938195121563,0.0003755758555121743,0.0013861618851882425,grey
DVL2,1.3449062686438833,8.292261430317086e-23,4.41719378927221e-21,re
PRSS22,-2.4932439859077054,1.1392598079987573e-09,1.0178529281431936e-08,b
UPF1,0.6827474033115526,4.800140006720682e-10,4.507565366364266e-09,grey
SKAP2,0.4779403296958301,0.01833533068713524,0.044648285632615636,grey
SLC25A5,0.5094050532358224,1.753973317795831e-05,8.283548292852259e-05,grey
MCUB,0.533141227948452,0.019777878484667142,0.047692086976286734,grey
HOXA11,1.6169993153086857,1.752680877058304e-07,1.1370074186936712e-06,re
POLR2J,0.7303742984406342,3.5827903785419976e-12,4.4413229138172096e-11,grey
DHX33,0.3520905152659327,0.0009547457675299624,0.003240351010613652,grey
MEOX1,1.3343615662180246,1.2603022243171429e-05,6.098463029914086e-05,re
