,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,KEGG_2021_Human__Complement and coagulation cascades,-0.7751133907923901,-2.5665911151624967,0.001,0.001,0.001,61/85,7.12%,C9;C7;F9;C6;MBL2;CFHR3;C8A;SERPINE1;PLG;CR1;FGB;VSIG4;CFHR4;KLKB1;C8B;C1R;MASP1;FGG;FGA;SERPINF2;F11;A2M;CFHR5;C4BPA;CR1L;C1S;MASP2;F3;SERPINC1;F8;F12;THBD;CFI;SERPING1;CPB2;F2;PROS1;SERPINA1;C1QB;CFHR2;SERPINA5;C1QC;CFD;C3;C1QA;CLU;C5;KNG1;PROC;F13B;F7;C5AR1;C4B;SERPIND1;CFHR1;C4A;F2RL2;CFH;VTN;SERPINB2;PLAUR
1,prerank,Reactome_2022__Complement Cascade R-HSA-166658,-0.8171708946138305,-2.559801804311748,0.001,0.001,0.001,38/55,6.67%,FCN2;COLEC10;FCN3;MBL2;CFHR3;C8A;CR1;COLEC11;CFHR4;C8B;C1R;MASP1;CFHR5;C4BPA;C1S;MASP2;FCN1;CFI;SERPING1;CPB2;IGLL5;PROS1;C1QB;CFHR2;C1QC;C3;CD81;C1QA;CLU;C5;C5AR1;C4B;CFHR1;C4A;GZMM;CFH;VTN;ELANE
2,prerank,KEGG_2021_Human__Retinol metabolism,-0.7866483549284516,-2.5588991700881003,0.001,0.001,0.001,35/68,3.86%,CYP1A2;CYP3A4;CYP26A1;CYP2A7;CYP2A6;ADH4;CYP2C8;CYP2B6;LRAT;CYP1A1;RDH16;ADH1C;UGT1A4;ADH1B;CYP2C9;UGT2B7;ADH1A;UGT2B10;UGT2B17;AOX1;UGT2A1;UGT1A1;HSD17B6;ADH6;RDH5;CYP2C18;UGT1A3;UGT1A9;UGT2B15;ALDH1A3;CYP3A7;CYP3A7-CYP3A51P;UGT2A3;ADH7;BCO1
3,prerank,Reactome_2022__Drug ADME R-HSA-9748784,-0.7358537557173171,-2.505270654584335,0.001,0.001,0.001,50/93,5.91%,CYP3A4;SLCO1B3;SLC22A1;CYP2E1;CYP2C8;GLYAT;CYP2C19;PCK1;UGT1A4;GLYATL1;CYP2C9;BCHE;UGT2B7;GGT6;ACSM5;GSTA2;SLC28A3;ADH1A;UGT2B10;UGT3A1;GSTM1;UGT2B17;SULT1E1;UGT2A1;ALB;UGT1A1;GLYATL3;PON1;GGT5;SULT2A1;SLC22A7;XDH;ACSM2A;SLCO1B1;UGT1A3;PON3;UGT1A9;GSTA1;UGT2B15;ABCG2;SULT1A1;ACSM2B;SLCO2B1;UGT2A3;SLC22A3;CES1;SULT1C4;SLC28A2;CES2;SLC38A3
4,prerank,Reactome_2022__Biological Oxidations R-HSA-211859,-0.6799904476867701,-2.4953940867930537,0.001,0.001,0.001,111/216,7.98%,CYP1A2;CYP3A4;CYP26A1;CYP2A7;CYP2A6;CYP2E1;CYP2C8;CYP39A1;GLYAT;CYP2B6;CYP2C19;NNMT;CYP8B1;CYP1A1;ADH1C;UGT1A4;CYP4A11;CYP4A22;ADH1B;GLYATL1;CYP2C9;PTGIS;UGT2B7;GGT6;ACSM5;CYP3A43;GSTA2;GSTM5;ADH1A;UGT2B10;CYP4F2;AKR7A3;UGT3A1;GSTM1;UGT2B17;SULT1E1;UGT2A1;GSTZ1;UGT1A1;GLYATL3;MAT1A;GGT5;SULT2A1;AOC1;SULT1B1;ADH6;ACSM2A;CYP2C18;UGT1A3;FMO3;CYP2A13;ALDH2;UGT1A9;GSTA1;CES3;UGT2B15;CYP4V2;CYP2J2;ALDH1B1;SULT1A1;CYP3A7-CYP3A51P;ACSM2B;SLC35D1;AADAC;CMBL;CYP4F12;CYP4F3;CYP7B1;UGP2;GSTT2B;UGT2A3;CYP27A1;ADH7;PRNP;ACY3;MGST1;PAPSS2;FMO4;CYP11A1;DPEP3;CES1;MAOB;MTARC2;PTGS1;AKR7L;COMT;TBXAS1;SULT1C4;DPEP2;CYP2U1;CES2;SLC38A3;SULT1A2;TPST1;CYP3A5;MAOA;AOC3;CYP4F22;ABHD14B;CYP4F11;TPMT;AHR;UGT2B4;NR1H4;CYP2S1;CYP26B1;FDX1;GGT1;MTARC1;CYP46A1;POMC
5,prerank,Reactome_2022__Phase I - Functionalization Of Compounds R-HSA-211945,-0.7263421305217845,-2.4916276695089206,0.001,0.001,0.001,61/103,7.98%,CYP1A2;CYP3A4;CYP26A1;CYP2A7;CYP2A6;CYP2E1;CYP2C8;CYP39A1;CYP2B6;CYP2C19;CYP8B1;CYP1A1;ADH1C;CYP4A11;CYP4A22;ADH1B;CYP2C9;PTGIS;CYP3A43;ADH1A;CYP4F2;AOC1;ADH6;CYP2C18;FMO3;CYP2A13;ALDH2;CES3;CYP4V2;CYP2J2;ALDH1B1;CYP3A7-CYP3A51P;AADAC;CMBL;CYP4F12;CYP4F3;CYP7B1;CYP27A1;ADH7;FMO4;CYP11A1;CES1;MAOB;MTARC2;PTGS1;TBXAS1;CYP2U1;CES2;CYP3A5;MAOA;AOC3;CYP4F22;CYP4F11;AHR;NR1H4;CYP2S1;CYP26B1;FDX1;MTARC1;CYP46A1;POMC
6,prerank,Reactome_2022__Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,-0.7700427419171851,-2.468441057157134,0.001,0.001,0.001,40/64,7.98%,CYP1A2;CYP3A4;CYP26A1;CYP2A7;CYP2A6;CYP2E1;CYP2C8;CYP39A1;CYP2B6;CYP2C19;CYP8B1;CYP1A1;CYP4A11;CYP4A22;CYP2C9;PTGIS;CYP3A43;CYP4F2;CYP2C18;CYP2A13;CYP4V2;CYP2J2;CYP3A7-CYP3A51P;CYP4F12;CYP4F3;CYP7B1;CYP27A1;CYP11A1;TBXAS1;CYP2U1;CYP3A5;CYP4F22;CYP4F11;AHR;NR1H4;CYP2S1;CYP26B1;FDX1;CYP46A1;POMC
7,prerank,MSigDB_Hallmark_2020__Xenobiotic Metabolism,-0.6632691140518165,-2.4010457117018227,0.001,0.001,0.001,110/200,7.75%,CYP1A2;CYP26A1;SLC22A1;HGFAC;CYP2E1;ESR1;MT2A;CYP1A1;ADH1C;LCAT;TAT;HSD11B1;TDO2;FBP1;MBL2;VNN1;GNMT;HRG;FETUB;CRP;CYP4F2;ATOH8;SERPINE1;AOX1;PLG;FABP1;IGFBP1;SLC46A3;CDA;AQP9;XDH;ARG1;IGF1;EPHA2;PDK4;CYP2C18;FMO3;SLC6A12;ALDH2;CA2;ETFDH;GCH1;IRF8;G6PC;TTPA;LEAP2;UPB1;PEMT;ANGPTL3;DCXR;F11;ETS2;NDRG2;HMOX1;CDO1;GCKR;CYP2J2;CAT;MTHFD1;ITIH1;HSD17B2;ID2;ACOX2;ALAS1;RBP4;SLC35D1;ENPEP;TKFC;SERTAD1;PROS1;GABARAPL1;KYNU;CYP27A1;DHRS1;MAN1A1;ADH7;SPINT2;ABHD6;ENTPD5;IGFBP4;PC;LPIN2;CYB5A;PINK1;PAPSS2;FAH;PTGR1;PDLIM5;DDC;ACOX1;SERPINA6;CES1;CSAD;COMT;ALDH9A1;FAS;IL1R1;CYFIP2;VTN;TPST1;ASL;MAOA;PGRMC1;TMBIM6;GCNT2;TMEM176B;CYP2S1;MCCC2;TNFRSF1A;RETSAT
8,prerank,KEGG_2021_Human__Metabolism of xenobiotics by cytochrome P450,-0.7409717277180291,-2.399292235423449,0.001,0.001,0.001,35/75,4.16%,CYP1A2;CYP3A4;CYP2A7;CYP2A6;ADH4;CYP2E1;CYP2B6;CYP1A1;ADH1C;UGT1A4;HSD11B1;ADH1B;CYP2C9;UGT2B7;GSTA2;GSTM5;ADH1A;UGT2B10;AKR7A3;GSTM1;UGT2B17;UGT2A1;UGT1A1;SULT2A1;ADH6;UGT1A3;CYP2A13;UGT1A9;GSTA1;UGT2B15;GSTT2B;UGT2A3;ADH7;CYP2D7;MGST1
9,prerank,Reactome_2022__Aspirin ADME R-HSA-9749641,-0.8060492964913141,-2.3921177482348295,0.001,0.001,0.001,26/43,3.75%,CYP3A4;CYP2E1;CYP2C8;GLYAT;CYP2C19;UGT1A4;GLYATL1;CYP2C9;BCHE;UGT2B7;ACSM5;UGT2B10;UGT3A1;UGT2B17;UGT2A1;ALB;UGT1A1;GLYATL3;SLC22A7;ACSM2A;UGT1A3;UGT1A9;UGT2B15;ACSM2B;SLCO2B1;UGT2A3
