Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,-0.6437828413122496,-2.466810180660538,1.000000e-03,1.000000e-03,1.000000e-03,162/230,24.84%,DDX39A;SNRPG;SRRT;SNRPF;FUS;NUP205;NUP85;SNRNP70;HNRNPD;SNRPA1;NUP93;ALYREF;HNRNPC;THOC2;HNRNPU;U2AF2;LSM7;SRSF2;YBX1;HNRNPL;SRSF3;DDX23;DNAJC8;HNRNPM;SF3B3;DHX15;NUP160;NUP188;SF1;NDC1;THOC6;CHTOP;HSPA8;PUF60;SF3A2;SNRNP40;NUP153;DHX9;PCBP1;SNRPE;LSM3;SNRPB;NUP155;PRPF3;RBMX;SNRPD3;WBP11;CCAR1;SF3A3;ELAVL1;SNRPC;LSM4;HNRNPUL1;SRSF10;LSM5;NUP62;EIF4A3;DDX46;HNRNPF;NUP88;PPIH;SF3B4;EFTUD2;HNRNPA3;SYMPK;PPIL1;SNRNP25;NUDT21;NUP107;PTBP1;SNRPD2;HNRNPA2B1;SRRM1;NUP37;HNRNPK;PRPF31;THOC5;POLDIP3;U2SURP;PRPF19;SRSF1;PRPF4;SART1;THOC3;USP39;U2AF1;HNRNPR;SNRNP35;SLBP;CSTF1;PABPN1;PHF5A;PRPF8;SNRPA;SRSF4;POLR2E;LSM6;METTL3;PRPF40A;NXT1;NCBP1;SF3A1;SRSF9;SRRM2;SEH1L;MAGOH;CPSF1;GTF2F1;CHERP;CSTF2;AAAS;NUP98;RBM22;SF3B6;RNPS1;POLR2F;NUP50;NUP35;EIF4E;HNRNPA1;SF3B5;MAGOHB;CWC27;SNRNP200;NUP54;PCBP2;HNRNPH1;TPR;CPSF2;SNW1;PAPOLA;GTF2F2;CPSF6;THOC1;SF3B1;THOC7;CWC15;WDR33;SNRPB2;SARNP;SRSF7;SRSF11;HNRNPA0;CPSF4;PPIE;AQR;DDX5;TXNL4A;POLR2J;PRPF6;CPSF7;HNRNPH2;NUP210;TRA2B;ZRSR2;CWC22;SF3B2;PRCC;CTNNBL1;RBM42;SEC13;POLR2B
prerank,"Reactome_2022__Cell Cycle, Mitotic R-HSA-69278",-0.606983399556235,-2.457181293974214,1.000000e-03,1.000000e-03,1.000000e-03,251/474,19.37%,TUBA4A;MCM10;KIF20A;E2F2;CDC45;NCAPH;CDC20;PLK1;TUBA1B;TK1;MCM5;CENPF;BUB1B;INCENP;UBE2C;TPX2;NEK6;RRM2;MCM7;ANAPC15;DHFR;CENPM;CCND2;KIF23;CCNA2;ESPL1;CCNB1;CDK1;SPC24;RFC3;CDC25A;PSMB10;TUBA1C;ESCO2;MCM3;PKMYT1;CDCA5;MYBL2;SLC19A1;ZWINT;CKS1B;AURKB;GINS2;LMNB1;MYC;TOP2A;FEN1;POLD1;POLE2;CENPO;LMNA;NCAPG;TUBA1A;GTSE1;CDKN2A;MCM4;MAPK3;AURKA;POLA1;KIF2C;NUP205;NCAPG2;CDKN2C;CDC6;NUP85;FBXO5;HAUS8;B9D2;NCAPD2;CDT1;POLA2;BIRC5;GINS4;TYMS;ERCC6L;PLK4;GINS1;RBBP4;CCNB2;NUP93;PCNA;CDK2;FOXM1;XPO1;NDC80;CABLES1;TMPO;RCC1;POLD2;PTTG1;MZT2A;NUF2;CDCA8;SMC4;MASTL;GINS3;CENPA;SPC25;KPNB1;NUDC;NEK7;HMMR;PRIM1;CDKN1C;RAN;CENPQ;NUP160;NUP188;NDC1;YWHAE;PRIM2;TUBB4B;MZT2B;CDC25B;ORC6;NUP153;NCAPH2;RCC2;CENPI;KIF18A;HSP90AB1;MAD2L1;TUBB6;NUP155;SKA2;NME7;CDK4;TUBB4A;NEK2;DNA2;HAUS7;PSMC3;ANAPC1;PSMB3;RAD21;PSMC5;BUB1;HDAC1;RAB8A;TUBB3;PSMA2;LIN9;GMNN;SMC3;E2F1;NUP62;PSMB6;RFC2;BANF1;RFC5;WEE1;PSMB5;RAB1B;CENPK;AKT2;SMC1A;KNTC1;DYNLL1;NUP88;PPP1CC;PPP2R2A;SET;CDC26;STAG2;PSMA6;CENPE;CEP72;NUP107;RPS27A;MCM6;CDC25C;RANGAP1;PSMB2;SPDL1;AJUBA;NUP37;RFC4;TUBA4B;PSMD13;TFDP1;PSME3;NCAPD3;PCNT;CENPL;E2F5;BUB3;DCTN1;PSMC6;POLE;MAPRE1;PSMA7;PPP1CB;POLR1B;TUBG1;PSMD7;PDS5B;CCND3;CDK11B;VRK1;HSP90AA1;CDC7;PSMA5;NUMA1;CENPU;PSMD5;BORA;CEP152;TUBGCP2;CTDNEP1;KIF2A;SEH1L;POLE3;CHMP2A;PSMD11;HDAC8;PPP2CA;CCND1;HAUS2;PSMD2;RPA3;AAAS;NUP98;FZR1;UBE2I;CENPJ;CEP76;NUP50;TUBGCP4;NUP35;CSNK1D;ANAPC7;CUL1;LBR;PPP2R1A;CCNE2;CENPH;RBX1;UBE2S;UBE2E1;PSMA3;DYNC1I2;NUP54;ORC3;PSMA4;YWHAG;PPP2R2D;PSMC4;TPR;ITGB3BP;EMD;ANKLE2
prerank,Reactome_2022__Cell Cycle Checkpoints R-HSA-69620,-0.6448363204143044,-2.4448022366981728,1.000000e-03,1.000000e-03,1.000000e-03,136/240,19.32%,MCM10;CDC45;CDC20;PLK1;ZNF385A;MCM5;CENPF;BUB1B;INCENP;UBE2C;MCM7;ANAPC15;CENPM;CCNA2;CCNB1;CDK1;SPC24;RFC3;CDC25A;PSMB10;MCM3;PKMYT1;ZWINT;AURKB;BRIP1;CENPO;GTSE1;CDKN2A;MCM4;CLSPN;KIF2C;CDC6;NUP85;B9D2;BLM;EXO1;BIRC5;ERCC6L;YWHAQ;CCNB2;CDK2;XPO1;NDC80;NUF2;CDCA8;KAT5;CENPA;SPC25;NUDC;RMI2;BRCA1;CARD16;CENPQ;NUP160;YWHAE;ORC6;CHEK1;RCC2;CENPI;KIF18A;MAD2L1;SKA2;DNA2;PSMC3;BABAM1;ANAPC1;PSMB3;PSMC5;BUB1;PSMA2;PSMB6;RFC2;RFC5;WEE1;PSMB5;CENPK;KNTC1;DYNLL1;PPP1CC;CDC26;BRCC3;RMI1;PSMA6;CENPE;NUP107;RPS27A;YWHAZ;MCM6;CDC25C;RANGAP1;PSMB2;SPDL1;NUP37;CHEK2;RFC4;UIMC1;YWHAB;PSMD13;PSME3;CENPL;TOPBP1;BUB3;PSMC6;MAPRE1;PSMA7;POLR1B;UBE2N;PSMD7;TP53BP1;CDC7;PSMA5;CENPU;PSMD5;KIF2A;SEH1L;PSMD11;PPP2CA;PSMD2;RPA3;NUP98;YWHAH;ANAPC7;PPP2R1A;RRAD;CCNE2;CENPH;UBE2S;UBE2E1;PCBP4;PSMA3;DYNC1I2;ORC3;PSMA4;YWHAG;PSMC4;ITGB3BP
prerank,GO_Biological_Process_2023__Translation (GO:0006412),-0.6529791917301557,-2.444278610510493,1.000000e-03,1.000000e-03,1.000000e-03,148/210,23.99%,RPS18;EEF1A2;EIF5A;EIF5AL1;MRPS28;MRPS34;MRPL11;MRPS5;MRPL23;RPS26;MRPL12;MRPS12;MRPL54;MRPL36;MRPS24;MRPL20;GADD45GIP1;MRPL27;GATB;FTSJ1;RPL35;MRPL48;EIF4G1;MRPS27;MRPS2;MRPL21;RPL7A;MRPL16;RPL27;RPL11;MRPL51;MRPL28;RPL36AL;EEF1B2;RPS11;RPS10;MRPL46;GSPT1;MRPL14;WARS2;RPS7;MRPL47;FAU;CHCHD1;AURKAIP1;MRPL3;RPL6;RPL35A;MRRF;TUFM;ABCE1;RPL38;RPL18;RPS27A;MRPS18C;RPS29;RPS14;MRPS33;PTCD3;RPL23A;LARS2;MRPL37;RPL18A;RPS15;FASTKD2;RPL29;RPS3;MRPL13;RPL24;MRPL34;MRPL42;MRPL4;RPL5;RPSA;RPL14;MRPL24;RPS3A;MRPL53;RPS24;MRPS7;MRPS17;RPL8;MRPS26;MRPS30;SRBD1;RPL30;MRPS9;RPL22L1;MRPL18;EEF2K;RPL17;MRPL38;RPL34;MRPL39;MRPL1;RPL36;RPS6KB2;MRPS15;RPS5;RPL19;FARS2;MRPS23;RPL9;MRPL45;MRPL44;RPL41;RPS6;RPL3;MRPS6;RPL26;RPS25;MRPL9;MRPS25;RPLP2;RPS9;MRPS22;RPS21;PABPC4;RPS2;RPL7;RPL22;MRPL19;EEF1D;MRPL43;RPS13;RPL39;MRPS21;ZC3H15;RPL32;RPS15A;MRPL49;TSFM;MRPL2;MRPL35;RPS17;YARS2;ETF1;MRPL30;RPLP0;QRSL1;MRPL57;EEF1G;APEH;RPL31;UBA52;RPS8;MRPS16;RWDD1
prerank,Reactome_2022__mRNA Splicing - Major Pathway R-HSA-72163,-0.6564518527138141,-2.4438409209019802,1.000000e-03,1.000000e-03,1.000000e-03,125/174,25.06%,SNRPG;SRRT;SNRPF;FUS;SNRNP70;HNRNPD;SNRPA1;ALYREF;HNRNPC;HNRNPU;U2AF2;LSM7;SRSF2;YBX1;HNRNPL;SRSF3;DDX23;DNAJC8;HNRNPM;SF3B3;DHX15;SF1;HSPA8;PUF60;SF3A2;SNRNP40;DHX9;PCBP1;SNRPE;LSM3;SNRPB;PRPF3;RBMX;SNRPD3;WBP11;CCAR1;SF3A3;ELAVL1;SNRPC;LSM4;HNRNPUL1;SRSF10;LSM5;EIF4A3;DDX46;HNRNPF;PPIH;SF3B4;EFTUD2;HNRNPA3;SYMPK;PPIL1;NUDT21;PTBP1;SNRPD2;HNRNPA2B1;SRRM1;HNRNPK;PRPF31;U2SURP;PRPF19;SRSF1;PRPF4;SART1;USP39;U2AF1;HNRNPR;CSTF1;PABPN1;PHF5A;PRPF8;SNRPA;SRSF4;POLR2E;LSM6;PRPF40A;NCBP1;SF3A1;SRSF9;SRRM2;MAGOH;CPSF1;GTF2F1;CHERP;CSTF2;RBM22;SF3B6;RNPS1;POLR2F;HNRNPA1;SF3B5;MAGOHB;CWC27;SNRNP200;PCBP2;HNRNPH1;CPSF2;SNW1;PAPOLA;GTF2F2;CPSF6;SF3B1;CWC15;WDR33;SNRPB2;SRSF7;SRSF11;HNRNPA0;CPSF4;PPIE;AQR;DDX5;TXNL4A;POLR2J;PRPF6;CPSF7;HNRNPH2;TRA2B;CWC22;SF3B2;PRCC;CTNNBL1;RBM42;POLR2B;TFIP11
prerank,Reactome_2022__Translation R-HSA-72766,-0.6298653399300626,-2.4289365255335342,1.000000e-03,1.000000e-03,1.000000e-03,168/256,23.83%,EEF1A2;MRPS34;MRPL11;MRPS5;MRPL23;MRPL12;MRPL54;MRPL36;MRPS24;MRPL20;GADD45GIP1;EIF3I;EIF3B;PPA1;CARS2;RPL35;MRPL48;EIF4G1;MRPS27;SARS2;MRPS2;EIF3D;MRPL21;RPL7A;MRPL16;EARS2;RPL27;RPL11;MRPL51;RPL36AL;EEF1B2;RPS11;RPS10;MRPL46;PPA2;GSPT1;MRPL14;WARS2;RPS7;FARSA;EIF3K;MRPL47;FAU;CHCHD1;AURKAIP1;MRPL3;RPL6;AIMP2;RPL35A;MRRF;TUFM;RPL38;RPL18;RPS27A;MRPS18C;RPS29;EIF5B;RPS14;MRPS33;PTCD3;RPL36A;RPL23A;LARS2;MRPL37;RPL18A;RPS15;RPL29;EIF4H;RPS3;MRPL13;MRPL34;MRPL42;MRPL4;RPL5;EIF2B2;SPCS2;EIF2B5;RPSA;EIF3G;RPL14;MRPL32;MRPL24;RPS3A;MRPL53;RPS24;MRPS7;MRPS17;RPL8;MRPS26;MRPS30;MRPL15;RPL30;MRPS9;EIF1AX;EEF1E1;RPL22L1;GFM1;SRP72;MRPL18;OXA1L;MRPL38;RPL34;MRPL39;MRPL1;RPL36;EIF4A1;MRPS15;RPS5;RPL19;FARS2;DARS2;MRPS23;RPL9;MRPL45;MRPL44;RPL41;RPS6;MRPS35;RPL3;MRPS6;RPL26;RPS25;EIF4E;EIF2S1;MRPL9;MRPS25;RPLP2;RPS9;SRP14;EIF3C;MRPS22;EIF2B1;RPS21;RPS2;RPL7;RPL22;MRPL19;EEF1D;MRPL43;RPS13;RPL39;EIF3E;MRPS21;RPL32;RPS15A;MRPL49;EIF3H;EIF2B4;TSFM;RPL23;SEC61B;EIF3J;MRPL35;RPS17;YARS2;AIMP1;ETF1;MRPL30;RPLP0;TARS2;MRPL57;EEF1G;APEH;RPL31;UBA52;RPS8;MRPS36;MRPS16
prerank,KEGG_2021_Human__Ribosome,-0.6777892827181019,-2.4000871257883776,1.000000e-03,1.000000e-03,1.000000e-03,96/131,23.83%,RPS18;MRPL11;MRPS5;MRPL23;RPS26;MRPL12;MRPS12;MRPL36;MRPL20;MRPL27;RPL36A-HNRNPH2;RPL35;MRPS2;MRPL21;RPL7A;MRPL16;RPL27;RPL11;MRPL28;RPL36AL;RPS11;RPS10;MRPL14;RPS7;FAU;MRPL3;RPL6;RPL35A;RPL38;RPL18;RPS27A;MRPS18C;RPS29;RPS14;RPL36A;RPL23A;RPL18A;RPS15;RPL29;RPS3;MRPL13;RPL24;MRPL34;MRPL4;RPL5;RPSA;RPL14;MRPL32;MRPL24;RPS3A;RPS24;MRPS7;MRPS17;RPL8;MRPL15;RPL30;MRPS9;RPL22L1;MRPL18;RPL17;RPL34;MRPL1;RPL36;MRPS15;RPS5;RPL19;RPL9;RPL41;RPS6;RPL3;MRPS6;RPL26;RPS25;MRPL9;RPLP2;RPS9;RPS21;RPS2;RPL7;RPL22;MRPL19;RPS13;RPL39;MRPS21;RPL32;RPS15A;RPL23;MRPL2;MRPL35;RPS17;MRPL30;RPLP0;RPL31;UBA52;RPS8;MRPS16
prerank,Reactome_2022__rRNA Processing R-HSA-72312,-0.6466277442183936,-2.3941450084226377,1.000000e-03,1.000000e-03,1.000000e-03,126/186,23.84%,WDR18;FBL;BOP1;TSR1;DHX37;UTP20;EXOSC4;WDR43;RPL35;DDX56;RRP7A;ERI1;RPL7A;PES1;DKC1;RPL27;RPL11;EXOSC10;BYSL;ELAC2;RPL36AL;GAR1;RPS11;RPS10;DDX47;NHP2;NOP14;PWP2;RPS7;EXOSC2;EBNA1BP2;NOP56;EXOSC5;NOL12;FAU;RPL6;TBL3;RPL35A;NOC4L;RPL38;HEATR1;RPL18;RPS27A;RPS29;LAS1L;NOB1;NOP58;RPS14;RPL36A;EXOSC7;RPL23A;EMG1;RPL18A;RPS15;NOP10;RPL29;RPS3;MRPL13;UTP18;RPL5;RRP1B;RPSA;RPL14;RPS3A;RPS24;RPL8;SENP3;IMP4;MTERF4;NOP2;RPL30;WDR75;TEX10;RPL22L1;NOL11;RPP40;RPL34;EXOSC3;WDR12;RPL36;HSD17B10;GNL3;RPS5;RPL19;RPL9;RPL41;RPS6;CSNK1D;RPL3;RPL26;RPS25;RPLP2;NOL6;RPS9;RPS21;EXOSC9;RPS2;LTV1;TRMT10C;RPL7;RPL22;DDX49;XRN2;RPS13;RPL39;FTSJ3;RPL32;RPS15A;RRP36;MRM1;TSR3;RPL23;DCAF13;PELP1;NIP7;RPS17;RBM28;WDR46;RPLP0;KRR1;DIS3;RPL31;UBA52;RPS8;UTP6;TFB1M
prerank,Reactome_2022__Mitochondrial Translation Elongation R-HSA-5389840,-0.7236539793655363,-2.3914004218853666,1.000000e-03,1.000000e-03,1.000000e-03,68/80,25.21%,MRPS34;MRPL11;MRPS5;MRPL23;MRPL12;MRPL54;MRPL36;MRPS24;MRPL20;GADD45GIP1;MRPL48;MRPS27;MRPS2;MRPL21;MRPL16;MRPL51;MRPL46;MRPL14;MRPL47;CHCHD1;AURKAIP1;MRPL3;TUFM;MRPS18C;MRPS33;PTCD3;MRPL37;MRPL13;MRPL34;MRPL42;MRPL4;MRPL32;MRPL24;MRPL53;MRPS7;MRPS17;MRPS26;MRPS30;MRPL15;MRPS9;GFM1;MRPL18;OXA1L;MRPL38;MRPL39;MRPL1;MRPS15;MRPS23;MRPL45;MRPL44;MRPS35;MRPS6;MRPL9;MRPS25;MRPS22;MRPL19;MRPL43;MRPS21;MRPL49;TSFM;MRPL35;MRPL30;MRPL57;MRPS36;MRPS16;MRPL50;MRPL17;ERAL1
prerank,GO_Biological_Process_2023__Mitochondrial Translation (GO:0032543),-0.6988498966934762,-2.391161862084996,1.000000e-03,1.000000e-03,1.000000e-03,69/95,22.80%,MRPS28;MRPS34;MRPL11;MRPS5;MRPL23;MRPL12;MRPS12;MRPL54;MRPL36;MRPS24;MRPL20;GADD45GIP1;MRPL27;GATB;MRPL48;MRPS27;MRPS2;MRPL21;MRPL16;EARS2;MRPL51;MRPL28;MRPL46;MRPL14;MRPL47;CHCHD1;MRPL3;TUFM;MRPS18C;MRPS33;PTCD3;LARS2;MRPL37;FASTKD2;MRPL13;MRPL34;MRPL42;MRPL4;MRPL24;MRPL53;MRPS7;MRPS17;MRPS26;MRPS30;MRPS9;GFM1;MRPL18;MRPL38;MRPL39;MRPL1;MRPS15;MRPS23;MRPL45;MRPL44;MRPS6;MRPL9;MRPS25;MRPS22;MRPL19;MRPL43;DROSHA;MRPS21;MRPL49;TSFM;MRPL2;MRPL35;MRPL30;QRSL1;MRPL57
