gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe
A4GALT,-0.7952070422591293,0.004965796097650883,0.21009575556833518,0.29690211549770723,0.021385545238058547,0.5331680414342646
AAMDC,1.13977034728638,0.00014997922014267447,0.15753411973075065,0.28713324562941045,0.0018602867660362486,0.5229181581760348
AARS,0.7894036711861601,8.437631492326915e-05,0.20694107549143362,0.0495507572081933,0.0012796374792260303,0.3248847789841273
AARSD1,-0.5337422248796765,0.020516407960487485,0.1597905367661437,0.3859491212912036,0.0614249634305641,0.6109555877011928
ABCA1,-0.6482519877757522,0.0026851121664980718,-0.5566435329311057,0.005587862805048383,0.013585256300207394,0.2606654104500647
ABCA3,1.2902110628472063,1.2699551911522562e-05,-0.018735644786227447,0.8563746383042773,0.00042308707552230905,0.9604545091111867
ABCB10,0.5531403173853219,0.0036022500445707963,-0.2170403955621652,0.11958570813417527,0.016921314573755175,0.3831183397747532
ABCC1,-0.5554911324609022,0.001121852435578507,0.1272148832472216,0.23031470640940016,0.007242739515259758,0.5014231615555207
ABCC9,-0.7070339598927992,0.0002882498005685486,-0.29935202362393765,0.019074336695376046,0.0028405651144389837,0.31231311396833367
ABCF2,-0.5189520023846892,0.000901118427632137,0.12578898229230157,0.19110414540140186,0.00618673274827019,0.4579188810941491
ABHD15,0.8705480062095576,1.2079137469453722e-05,0.32955042064167406,0.002532418006943832,0.00041449798183172345,0.2207304299935557
ABHD2,0.7619174305814747,3.883639390237915e-06,0.04696356193629774,0.36404574520725436,0.0002289973340072191,0.5935987055220363
ABHD4,0.7491941038753095,4.473979885845832e-05,0.2764259660523513,0.008360673519835046,0.0008875172680273348,0.2756714638617306
ABLIM3,-0.6491586479087809,0.00019528665095268645,-0.1872785851755397,0.059037681892308284,0.0021993798312343812,0.3280817323411761
ABTB1,0.849620256182497,0.0010454085025095442,0.09694373107165774,0.5253114354227271,0.006922708729507445,0.7215996923181092
ACACA,-0.6034902677895194,1.2418003790957794e-05,0.05933834212921242,0.24642367247502256,0.0004198249340787764,0.5026401889255694
